Filename,Reference,DOI,Information,Comments,Corresponding damage scale
Non engineered masonry unreinforced with clay brick 1 storey_Sulawesi Tsunami 2018_M3.csv,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the Sulawesi 2018 Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Non engineered masonry unreinforced with clay brick 1 storey_Sulawesi Tsunami 2018_M3.xlsx,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the Sulawesi 2018 Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Non engineered masonry unreinforced with clay brick 2 storey_Sulawesi Tsunami 2018_M1.csv,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the Sulawesi 2018 Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Non engineered masonry unreinforced with clay brick 2 storey_Sulawesi Tsunami 2018_M1.xlsx,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the Sulawesi 2018 Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Non engineered masonry unreinforced with clay brick 2 storey_Sulawesi Tsunami 2018_M2.csv,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the Sulawesi 2018 Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Non engineered masonry unreinforced with clay brick 2 storey_Sulawesi Tsunami 2018_M2.xlsx,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the Sulawesi 2018 Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Non engineered masonry unreinforced with clay brick 2 storey_Sulawesi Tsunami 2018_M3.csv,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the Sulawesi 2018 Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Non engineered masonry unreinforced with clay brick 2 storey_Sulawesi Tsunami 2018_M3.xlsx,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the Sulawesi 2018 Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Timber_South Pacific Tsunami 2009_M1.csv,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the 2009 South Pacific Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Timber_South Pacific Tsunami 2009_M1.xlsx,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the 2009 South Pacific Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Timber_South Pacific Tsunami 2009_M2.csv,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the 2009 South Pacific Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Timber_South Pacific Tsunami 2009_M2.xlsx,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the 2009 South Pacific Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Timber_South Pacific Tsunami 2009_M3.csv,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the 2009 South Pacific Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
Timber_South Pacific Tsunami 2009_M3.xlsx,Jalayer et al. 2022,https://doi.org/10.5194/egusphere-2022-206,Fragility curves computed using data from the 2009 South Pacific Tsunami,Building type labels as in the publication.,Reese_et_al_20211_damage_scale.csv
