D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,8.33818E-11,1.39795E-09,2.884928055,0.592991491,0.065639341
0.01,0,2.48902E-05,9.00016E-05,,,
0.02,0,7.63263E-05,0.000234154,,,
0.03,0,0.000149333,0.000416792,,,
0.04,0,0.000242165,0.000632654,,,
0.05,0,0.000353834,0.000878716,,,
0.06,0,0.000483683,0.001152933,,,
0.07,0,0.000631243,0.001453793,,,
0.08,0,0.000796155,0.001780117,,,
0.09,0,0.000978138,0.002130948,,,
0.1,0,0.001176962,0.002505487,,,
0.11,0,0.001392438,0.002903052,,,
0.12,0,0.001624406,0.00332305,,,
0.13,0,0.001872729,0.003764957,,,
0.14,4.62654E-05,0.002137287,0.004228309,,,
0.15,0.00012327,0.002417977,0.004712685,,,
0.16,0.000211709,0.002714706,0.005217703,,,
0.17,0.000311768,0.003027391,0.005743013,,,
0.18,0.00042362,0.003355956,0.006288293,,,
0.19,0.000547427,0.003700336,0.006853244,,,
0.2,0.000683344,0.004060466,0.007437588,,,
0.21,0.000831519,0.004436291,0.008041063,,,
0.22,0.00099209,0.004827757,0.008663424,,,
0.23,0.001165191,0.005234815,0.009304439,,,
0.24,0.001350949,0.005657419,0.009963889,,,
0.25,0.001549485,0.006095525,0.010641564,,,
0.26,0.001760916,0.006549091,0.011337266,,,
0.27,0.001985352,0.007018079,0.012050806,,,
0.28,0.002222901,0.00750245,0.012782,,,
0.29,0.002473666,0.008002169,0.013530673,,,
0.3,0.002737744,0.008517201,0.014296658,,,
0.31,0.003015232,0.009047512,0.015079791,,,
0.32,0.00330622,0.009593068,0.015879917,,,
0.33,0.003610795,0.010153839,0.016696882,,,
0.34,0.003929043,0.010729791,0.01753054,,,
0.35,0.004261044,0.011320896,0.018380747,,,
0.36,0.004606877,0.011927121,0.019247366,,,
0.37,0.004966616,0.012548438,0.020130259,,,
0.38,0.005340334,0.013184815,0.021029296,,,
0.39,0.005728101,0.013836224,0.021944346,,,
0.4,0.006129984,0.014502635,0.022875286,,,
0.41,0.006546046,0.015184018,0.02382199,,,
0.42,0.006976351,0.015880345,0.024784339,,,
0.43,0.007420956,0.016591586,0.025762215,,,
0.44,0.00787992,0.01731771,0.026755501,,,
0.45,0.008353296,0.01805869,0.027764084,,,
0.46,0.008841138,0.018814495,0.028787852,,,
0.47,0.009343494,0.019585094,0.029826694,,,
0.48,0.009860415,0.020370459,0.030880502,,,
0.49,0.010391944,0.021170557,0.031949171,,,
0.5,0.010938126,0.02198536,0.033032594,,,
0.51,0.011499003,0.022814836,0.034130669,,,
0.52,0.012074614,0.023658953,0.035243292,,,
0.53,0.012664996,0.02451768,0.036370364,,,
0.54,0.013270186,0.025390985,0.037511784,,,
0.55,0.013890217,0.026278836,0.038667454,,,
0.56,0.014525121,0.027181199,0.039837277,,,
0.57,0.015174927,0.028098042,0.041021157,,,
0.58,0.015839664,0.029029331,0.042218998,,,
0.59,0.016519358,0.029975033,0.043430707,,,
0.6,0.017214033,0.030935111,0.044656189,,,
0.61,0.017923712,0.031909532,0.045895352,,,
0.62,0.018648415,0.032898261,0.047148106,,,
0.63,0.019388161,0.03390126,0.048414359,,,
0.64,0.020142968,0.034918494,0.049694021,,,
0.65,0.02091285,0.035949926,0.050987003,,,
0.66,0.021697821,0.036995519,0.052293217,,,
0.67,0.022497894,0.038055234,0.053612574,,,
0.68,0.023313078,0.039129033,0.054944988,,,
0.69,0.024143383,0.040216877,0.056290372,,,
0.7,0.024988814,0.041318727,0.05764864,,,
0.71,0.025849377,0.042434542,0.059019707,,,
0.72,0.026725076,0.043564282,0.060403488,,,
0.73,0.027615912,0.044707905,0.061799899,,,
0.74,0.028521885,0.045865371,0.063208857,,,
0.75,0.029442995,0.047036636,0.064630277,,,
0.76,0.030379237,0.048221658,0.066064079,,,
0.77,0.031330607,0.049420393,0.067510178,,,
0.78,0.032297099,0.050632797,0.068968495,,,
0.79,0.033278705,0.051858826,0.070438948,,,
0.8,0.034275415,0.053098435,0.071921455,,,
0.81,0.035287219,0.054351578,0.073415937,,,
0.82,0.036314102,0.055618208,0.074922314,,,
0.83,0.037356052,0.056898279,0.076440507,,,
0.84,0.038413051,0.058191743,0.077970436,,,
0.85,0.039485083,0.059498553,0.079512022,,,
0.86,0.040572129,0.060818659,0.081065189,,,
0.87,0.041674167,0.062152012,0.082629858,,,
0.88,0.042791176,0.063498563,0.084205951,,,
0.89,0.043923132,0.064858261,0.085793391,,,
0.9,0.045070009,0.066231056,0.087392102,,,
0.91,0.046231781,0.067616895,0.089002008,,,
0.92,0.04740842,0.069015726,0.090623033,,,
0.93,0.048599894,0.070427497,0.092255101,,,
0.94,0.049806174,0.071852155,0.093898136,,,
0.95,0.051027225,0.073289645,0.095552065,,,
0.96,0.052263014,0.074739913,0.097216813,,,
0.97,0.053513504,0.076202905,0.098892305,,,
0.98,0.054778658,0.077678563,0.100578468,,,
0.99,0.056058437,0.079166832,0.102275228,,,
1,0.057352799,0.080667656,0.103982513,,,
1.01,0.058661704,0.082180977,0.105700249,,,
1.02,0.059985107,0.083706736,0.107428365,,,
1.03,0.061322963,0.085244876,0.109166788,,,
1.04,0.062675227,0.086795337,0.110915447,,,
1.05,0.064041848,0.088358059,0.112674269,,,
1.06,0.065422779,0.089932982,0.114443185,,,
1.07,0.066817968,0.091520046,0.116222124,,,
1.08,0.068227362,0.093119189,0.118011016,,,
1.09,0.069650908,0.094730349,0.119809789,,,
1.1,0.071088549,0.096353463,0.121618376,,,
1.11,0.07254023,0.097988468,0.123436706,,,
1.12,0.074005891,0.099635301,0.125264711,,,
1.13,0.075485473,0.101293898,0.127102322,,,
1.14,0.076978915,0.102964193,0.128949472,,,
1.15,0.078486153,0.104646122,0.130806091,,,
1.16,0.080007123,0.106339618,0.132672113,,,
1.17,0.08154176,0.108044616,0.134547471,,,
1.18,0.083089997,0.109761048,0.136432098,,,
1.19,0.084651765,0.111488846,0.138325928,,,
1.2,0.086226993,0.113227943,0.140228893,,,
1.21,0.087815612,0.114978271,0.14214093,,,
1.22,0.089417547,0.11673976,0.144061973,,,
1.23,0.091032725,0.11851234,0.145991956,,,
1.24,0.092661069,0.120295942,0.147930815,,,
1.25,0.094302504,0.122090495,0.149878486,,,
1.26,0.09595695,0.123895927,0.151834905,,,
1.27,0.097624328,0.125712168,0.153800009,,,
1.28,0.099304556,0.127539145,0.155773734,,,
1.29,0.100997552,0.129376785,0.157756019,,,
1.3,0.102703232,0.131225016,0.1597468,,,
1.31,0.10442151,0.133083763,0.161746016,,,
1.32,0.1061523,0.134952953,0.163753605,,,
1.33,0.107895514,0.13683251,0.165769506,,,
1.34,0.109651062,0.138722361,0.167793659,,,
1.35,0.111418854,0.140622429,0.169826003,,,
1.36,0.113198798,0.142532638,0.171866478,,,
1.37,0.1149908,0.144452912,0.173915025,,,
1.38,0.116794765,0.146383175,0.175971584,,,
1.39,0.118610599,0.148323348,0.178036096,,,
1.4,0.120438202,0.150273353,0.180108504,,,
1.41,0.122277477,0.152233113,0.182188749,,,
1.42,0.124128324,0.154202549,0.184276774,,,
1.43,0.125990643,0.156181582,0.186372521,,,
1.44,0.127864329,0.158170131,0.188475933,,,
1.45,0.129749281,0.160168118,0.190586955,,,
1.46,0.131645392,0.162175461,0.192705529,,,
1.47,0.133552558,0.16419208,0.194831601,,,
1.48,0.135470671,0.166217893,0.196965116,,,
1.49,0.137399622,0.168252819,0.199106017,,,
1.5,0.139339301,0.170296776,0.201254251,,,
1.51,0.141289599,0.172349682,0.203409764,,,
1.52,0.143250403,0.174411453,0.205572502,,,
1.53,0.1452216,0.176482006,0.207742412,,,
1.54,0.147203076,0.178561258,0.20991944,,,
1.55,0.149194716,0.180649125,0.212103533,,,
1.56,0.151196403,0.182745522,0.214294641,,,
1.57,0.153208019,0.184850365,0.216492711,,,
1.58,0.155229447,0.186963568,0.21869769,,,
1.59,0.157260566,0.189085047,0.220909529,,,
1.6,0.159301256,0.191214716,0.223128176,,,
1.61,0.161351396,0.193352488,0.22535358,,,
1.62,0.163410862,0.195498277,0.227585692,,,
1.63,0.165479532,0.197651997,0.229824461,,,
