D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0.000274967,0.001441396,0.811292431,0.852627124,0.286064213,0.000001,0,2.59961E-05,0.000380137,1.28857303,0.954943085,0.306428291
0.01,0,0.015164479,0.050205022,,,,0.01,0,0.002056694,0.010547468,,,
0.02,0,0.022221138,0.068308495,,,,0.02,0,0.003389506,0.015137135,,,
0.03,0,0.028176043,0.0823659,,,,0.03,0,0.00466565,0.019091726,,,
0.04,0,0.033608547,0.094446813,,,,0.04,0,0.005937829,0.022760523,,,
0.05,0,0.038738531,0.105321168,,,,0.05,0,0.007225453,0.026271647,,,
0.06,0,0.043677241,0.115372839,,,,0.06,0,0.008538237,0.029688356,,,
0.07,0,0.048490122,0.124824771,,,,0.07,0,0.009881962,0.033047127,,,
0.08,0,0.053219524,0.133819451,,,,0.08,0,0.011260498,0.036371152,,,
0.09,0,0.057894733,0.142454175,,,,0.09,0,0.012676681,0.039676224,,,
0.1,0,0.062537025,0.150798693,,,,0.1,0,0.014132739,0.042973655,,,
0.11,0,0.067162455,0.158904906,,,,0.11,0,0.015630515,0.046271879,,,
0.12,0,0.071783509,0.166812595,,,,0.12,0,0.017171604,0.049577389,,,
0.13,0,0.076410145,0.17455299,,,,0.13,0,0.018757429,0.052895316,,,
0.14,0,0.081050465,0.182151101,,,,0.14,0,0.020389295,0.056229813,,,
0.15,0,0.085711178,0.189627291,,,,0.15,0,0.022068413,0.059584305,,,
0.16,0,0.090397917,0.196998384,,,,0.16,0,0.02379593,0.062961666,,,
0.17,0,0.095115472,0.204278446,,,,0.17,0,0.02557294,0.066364349,,,
0.18,0,0.099867958,0.211479367,,,,0.18,0,0.027400492,0.069794471,,,
0.19,0,0.104658938,0.218611294,,,,0.19,0,0.029279598,0.073253891,,,
0.2,0,0.109491523,0.225682956,,,,0.2,0,0.031211241,0.076744251,,,
0.21,0,0.11436844,0.232701922,,,,0.21,0,0.033196372,0.080267027,,,
0.22,0,0.119292094,0.239674798,,,,0.22,0,0.035235914,0.083823549,,,
0.23,0.001921829,0.124264608,0.246607388,,,,0.23,0,0.037330767,0.087415034,,,
0.24,0.005070916,0.129287865,0.253504814,,,,0.24,0,0.039481801,0.091042603,,,
0.25,0.008355435,0.13436353,0.260371625,,,,0.25,0,0.041689863,0.094707291,,,
0.26,0.011774278,0.139493078,0.267211878,,,,0.26,0,0.043955772,0.09841007,,,
0.27,0.015326412,0.14467781,0.274029207,,,,0.27,0,0.046280318,0.102151848,,,
0.28,0.019010854,0.149918869,0.280826884,,,,0.28,0,0.048664267,0.105933485,,,
0.29,0.022826647,0.155217254,0.28760786,,,,0.29,0,0.051108351,0.109755794,,,
0.3,0.026772841,0.160573827,0.294374813,,,,0.3,0,0.053613275,0.113619551,,,
0.31,0.030848471,0.165989324,0.301130178,,,,0.31,0,0.05617971,0.117525494,,,
0.32,0.035052548,0.171464362,0.307876176,,,,0.32,0,0.058808294,0.12147433,,,
0.33,0.039384041,0.176999442,0.314614843,,,,0.33,0,0.06149963,0.125466735,,,
0.34,0.043841868,0.182594958,0.321348048,,,,0.34,0,0.064254286,0.129503357,,,
0.35,0.048424879,0.188251195,0.32807751,,,,0.35,0.000560763,0.06707279,0.133584816,,,
0.36,0.053131855,0.193968338,0.33480482,,,,0.36,0.002199558,0.069955631,0.137711704,,,
0.37,0.057961491,0.19974647,0.34153145,,,,0.37,0.003921928,0.072903257,0.141884587,,,
0.38,0.062912393,0.205585579,0.348258765,,,,0.38,0.005728145,0.075916074,0.146104002,,,
0.39,0.067983068,0.211485554,0.354988039,,,,0.39,0.007618421,0.07899444,0.15037046,,,
0.4,0.073171919,0.217446188,0.361720457,,,,0.4,0.009592903,0.082138671,0.15468444,,,
0.41,0.078477236,0.223467183,0.36845713,,,,0.41,0.011651673,0.085349032,0.159046392,,,
0.42,0.083897194,0.229548145,0.375199096,,,,0.42,0.013794746,0.08862574,0.163456734,,,
0.43,0.089429844,0.235688588,0.381947333,,,,0.43,0.016022066,0.091968958,0.167915851,,,
