D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,2.31108E-08,3.09269E-07,0.065396331,1.585604372,0.257911947,0.000001,0,0,0,0.369381859,0.974164746,0.058856829,0.000001,0,0,0,1.26039223,0.717122613,0.02883984,0.000001,0,0,0,2.971379664,0.73111717,0.032144154,0.000001,0,0,0,10.73410259,1.128032847,0.103011368,0.000001,0,0,0,37.62039797,0.874686951,0.225881167
0.18,0.70700189,0.740456047,0.773910205,,,,0.18,0.198918007,0.227318622,0.255719237,,,,0.18,0.001294315,0.002149068,0.003003821,,,,0.18,5.98182E-07,3.00397E-06,5.40975E-06,,,,0.18,0,2.29223E-08,5.38439E-08,,,,0.18,0,1.82914E-10,6.82188E-10,,,
0.19,0.719748391,0.751522544,0.783296698,,,,0.19,0.216069478,0.244762884,0.273456291,,,,0.19,0.001725602,0.002774796,0.003823989,,,,0.19,1.1058E-06,4.69939E-06,8.29297E-06,,,,0.19,0,3.89583E-08,8.90441E-08,,,,0.19,0,3.26518E-10,1.18255E-09,,,
0.2,0.731573782,0.761787471,0.79200116,,,,0.2,0.233067391,0.261939976,0.290812561,,,,0.2,0.002249004,0.003514815,0.004780625,,,,0.2,1.91044E-06,7.12243E-06,1.23344E-05,,,,0.2,0,6.38452E-08,1.42302E-07,,,,0.2,0,5.60645E-10,1.97562E-09,,,
0.21,0.742571422,0.771334375,0.800097329,,,,0.21,0.249865566,0.278818085,0.307770604,,,,0.21,0.002873336,0.004377327,0.005881317,,,,0.21,3.13112E-06,1.0495E-05,1.7859E-05,,,,0.21,0,1.01292E-07,2.20579E-07,,,,0.21,0,9.29882E-10,3.19377E-09,,,
0.22,0.752822443,0.780235432,0.807648421,,,,0.22,0.26642664,0.295372886,0.324319132,,,,0.22,0.003606854,0.005369718,0.007132581,,,,0.22,4.91641E-06,1.50802E-05,2.5244E-05,,,,0.22,0,1.56107E-07,3.32693E-07,,,,0.22,0,1.49518E-09,5.01312E-09,,,
0.23,0.762397702,0.788553344,0.814708986,,,,0.23,0.282720736,0.311586258,0.34045178,,,,0.23,0.004457172,0.006498514,0.008539856,,,,0.23,7.44745E-06,2.11841E-05,3.49207E-05,,,,0.23,0,2.34384E-07,4.89582E-07,,,,0.23,0,2.33792E-09,7.66288E-09,,,
0.24,0.771359377,0.796342869,0.821326361,,,,0.24,0.298724325,0.327445216,0.356166108,,,,0.24,0.005431202,0.007769363,0.010107524,,,,0.24,1.09405E-05,2.91574E-05,4.73743E-05,,,,0.24,0,3.43704E-07,7.04582E-07,,,,0.24,0,3.56447E-09,1.14355E-08,,,
0.25,0.77976226,0.803652056,0.827541851,,,,0.25,0.314419239,0.342941017,0.371462794,,,,0.25,0.006535111,0.00918703,0.01183895,,,,0.25,1.5649E-05,3.93965E-05,6.31439E-05,,,,0.25,0,4.93336E-07,9.93687E-07,,,,0.25,0,5.31124E-09,1.66977E-08,,,
0.26,0.787654837,0.810523256,0.833391675,,,,0.26,0.329791837,0.358068406,0.386344975,,,,0.26,0.007774298,0.010755412,0.013736525,,,,0.26,2.18655E-05,5.23432E-05,8.28209E-05,,,,0.26,1.30674E-08,6.94434E-07,1.3758E-06,,,,0.26,0,7.75024E-09,2.39017E-08,,,
0.27,0.79508017,0.816993951,0.838907733,,,,0.27,0.344832291,0.372825003,0.400817715,,,,0.27,0.009153389,0.012477559,0.015801729,,,,0.27,2.99224E-05,6.84848E-05,0.000107047,,,,0.27,4.74885E-08,9.60232E-07,1.87298E-06,,,,0.27,0,1.1095E-08,3.35975E-08,,,
