D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,6.67157E-15,2.17038E-13,0.254444894,0.389979681,0.147561313,0.000001,0,0,0,1.238293065,0.56983671,0.063061239
0.01,0,2.52042E-05,0.000160846,,,,0.01,0,1.07348E-10,9.64161E-10,,,
0.02,0,0.000184263,0.000917612,,,,0.02,0,4.0568E-09,3.04239E-08,,,
0.03,0,0.000619764,0.002646656,,,,0.03,0,3.56869E-08,2.33548E-07,,,
0.04,0,0.001503465,0.005724367,,,,0.04,0,1.71829E-07,1.00336E-06,,,
0.05,0,0.003036823,0.010530618,,,,0.05,0,5.92682E-07,3.13256E-06,,,
0.06,0,0.005449338,0.01744144,,,,0.06,0,1.65161E-06,7.98352E-06,,,
0.07,0,0.008995226,0.026817741,,,,0.07,0,3.9653E-06,1.76698E-05,,,
0.08,0,0.013948461,0.038991305,,,,0.08,0,8.52355E-06,3.52394E-05,,,
0.09,0,0.020596201,0.05424932,,,,0.09,0,1.6816E-05,6.48463E-05,,,
0.1,0,0.029230753,0.072819403,,,,0.1,0,3.09706E-05,0.000111895,,,
0.11,0,0.040140145,0.094857091,,,,0.11,0,5.38963E-05,0.00018314,,,
0.12,0,0.053597381,0.120436839,,,,0.12,0,8.942E-05,0.000286723,,,
0.13,0,0.069848353,0.149546122,,,,0.13,0,0.000142405,0.000432133,,,
0.14,0,0.089098473,0.182081293,,,,0.14,0,0.000218837,0.000630096,,,
0.15,0.005152765,0.111498334,0.217843903,,,,0.15,0,0.000325861,0.000892382,,,
0.16,0.01772094,0.137129159,0.256537377,,,,0.16,0,0.000471761,0.001231546,,,
0.17,0.034212709,0.165989186,0.297765664,,,,0.17,0,0.000665847,0.001660616,,,
0.18,0.054928337,0.197982454,0.341036571,,,,0.18,0,0.000918278,0.002192734,,,
0.19,0.080050505,0.232911455,0.385772404,,,,0.19,0,0.00123977,0.002840757,,,
0.2,0.1096206,0.27047498,0.431329361,,,,0.2,0,0.00164124,0.003616842,,,
0.21,0.143518975,0.310272115,0.477025255,,,,0.21,0,0.002133366,0.00453201,,,
0.22,0.181452659,0.351812953,0.522173248,,,,0.22,0,0.002726112,0.005595719,,,
0.23,0.222954326,0.394536162,0.566117998,,,,0.23,4.10544E-05,0.003428259,0.006815464,,,
0.24,0.267395457,0.437832906,0.608270355,,,,0.24,0.000297496,0.004246982,0.008196468,,,
0.25,0.314014753,0.481075831,0.648136909,,,,0.25,0.000633593,0.005187534,0.009741476,,,
0.26,0.361960643,0.523650904,0.685341164,,,,0.26,0.001055459,0.006253085,0.011450712,,,
0.27,0.410344054,0.56498907,0.719634087,,,,0.27,0.001567466,0.007444737,0.013322008,,,
0.28,0.458294824,0.604594263,0.750893701,,,,0.28,0.002172322,0.008761711,0.015351099,,,
0.29,0.505013811,0.642064492,0.779115173,,,,0.29,0.002871307,0.010201687,0.017532066,,,
0.3,0.54981425,0.677103815,0.80439338,,,,0.3,0.0036646,0.011761232,0.019857863,,,
0.31,0.592149444,0.709524614,0.826899784,,,,0.31,0.004551663,0.013436254,0.022320845,,,
0.32,0.631626728,0.739241282,0.846855836,,,,0.32,0.005531651,0.015222443,0.024913235,,,
0.33,0.6680084,0.766257464,0.864506527,,,,0.33,0.006603782,0.017115638,0.027627493,,,
0.34,0.701200387,0.790649366,0.880098345,,,,0.34,0.007767618,0.019112109,0.030456599,,,
0.35,0.731230589,0.812547549,0.893864508,,,,0.35,0.009023216,0.021208741,0.033394267,,,
0.36,0.758220899,0.83211923,0.906017561,,,,0.36,0.010371149,0.023403116,0.036435084,,,
0.37,0.782357905,0.849552619,0.916747332,,,,0.37,0.011812452,0.025693511,0.039574569,,,
0.38,0.803866452,0.865044133,0.926221814,,,,0.38,0.013348525,0.02807884,0.042809155,,,
0.39,0.822988357,0.878788778,0.934589199,,,,0.39,0.014981032,0.030558568,0.046136104,,,
0.4,0.839966783,0.890973468,0.941980152,,,,0.4,0.016711812,0.033132602,0.049553392,,,
0.41,0.85503573,0.901772831,0.948509931,,,,0.41,0.018542811,0.03580119,0.053059569,,,
0.42,0.868413633,0.911346953,0.954280273,,,,0.42,0.020476021,0.038564828,0.056653634,,,
0.43,0.880300017,0.919840521,0.959381024,,,,0.43,0.022513438,0.041424176,0.060334913,,,
0.44,0.890874302,0.92738292,0.963891537,,,,0.44,0.024657025,0.044379993,0.064102961,,,
0.45,0.900295999,0.934088942,0.967881886,,,,0.45,0.02690869,0.047433082,0.067957474,,,
0.46,0.908705775,0.940059844,0.971413914,,,,0.46,0.029270259,0.050584244,0.071898228,,,
0.47,0.916226974,0.945384567,0.97454216,,,,0.47,0.031743461,0.053834242,0.075925024,,,
0.48,0.922967333,0.950141008,0.977314683,,,,0.48,0.034329913,0.057183782,0.080037651,,,
0.49,0.92902074,0.954397263,0.979773785,,,,0.49,0.037031107,0.060633481,0.084235856,,,
0.5,0.934468906,0.958212793,0.98195668,,,,0.5,0.039848401,0.064183863,0.088519325,,,
0.51,0.939382921,0.961639497,0.983896072,,,,0.51,0.042783008,0.067835339,0.092887669,,,
0.52,0.943824644,0.96472267,0.985620695,,,,0.52,0.04583599,0.071588202,0.097340414,,,
0.53,0.94784795,0.967501863,0.987155777,,,,0.53,0.049008246,0.075442619,0.101876993,,,
0.54,0.951499807,0.970011639,0.988523471,,,,0.54,0.052300511,0.07939863,0.10649675,,,
0.55,0.954821226,0.972282226,0.989743225,,,,0.55,0.055713345,0.083456139,0.111198933,,,
0.56,0.957848073,0.974340094,0.990832115,,,,0.56,0.059247133,0.087614918,0.115982702,,,
0.57,0.96061177,0.976208456,0.991805142,,,,0.57,0.062902074,0.0918746,0.120847126,,,
0.58,0.963139898,0.977907693,0.992675487,,,,0.58,0.06667818,0.096234684,0.125791189,,,
0.59,0.965456716,0.979455729,0.993454741,,,,0.59,0.070575273,0.100694534,0.130813794,,,
