D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,5.20275E-06,9.92448E-05,0.431238658,0.442653959,0.180745495,0.000001,0,2.95226E-13,1.29413E-11,1.651087914,0.278959244,0.107302129
0.01,0,0.002468104,0.015873373,,,,0.01,0,5.05505E-07,1.66592E-05,,,
0.02,0,0.004803905,0.02578304,,,,0.02,0,1.61798E-06,4.75785E-05,,,
0.03,0,0.007353704,0.034985164,,,,0.03,0,3.28616E-06,8.77887E-05,,,
0.04,0,0.010155097,0.043993316,,,,0.04,0,5.54349E-06,0.000135597,,,
0.05,0,0.013228882,0.053015509,,,,0.05,0,8.45156E-06,0.000190132,,,
0.06,0,0.016591981,0.062165732,,,,0.06,0,1.2091E-05,0.000250918,,,
0.07,0,0.02026034,0.071517444,,,,0.07,0,1.6559E-05,0.000317718,,,
0.08,0,0.024249858,0.081123057,,,,0.08,0,2.19684E-05,0.000390463,,,
0.09,0,0.028576743,0.091022623,,,,0.09,0,2.84487E-05,0.000469217,,,
0.1,0,0.033257668,0.101248257,,,,0.1,0,3.61463E-05,0.000554159,,,
0.11,0,0.038309832,0.11182662,,,,0.11,0,4.52257E-05,0.000645567,,,
0.12,0,0.043750989,0.122780398,,,,0.12,0,5.58711E-05,0.000743816,,,
0.13,0,0.049599445,0.134129241,,,,0.13,0,6.82876E-05,0.000849373,,,
0.14,0,0.055874046,0.145890373,,,,0.14,0,8.27031E-05,0.000962796,,,
0.15,0,0.062594147,0.158078987,,,,0.15,0,9.93698E-05,0.001084731,,,
0.16,0,0.06977957,0.170708504,,,,0.16,0,0.000118566,0.001215915,,,
0.17,0,0.077450549,0.183790726,,,,0.17,0,0.000140598,0.001357173,,,
0.18,0,0.085627663,0.197335914,,,,0.18,0,0.000165802,0.001509418,,,
0.19,0,0.094331742,0.211352804,,,,0.19,0,0.000194546,0.001673654,,,
0.2,0,0.103583771,0.225848573,,,,0.2,0,0.000227233,0.001850969,,,
0.21,0,0.113404754,0.240828763,,,,0.21,0,0.000264302,0.00204254,,,
0.22,0,0.123815568,0.256297174,,,,0.22,0,0.000306228,0.002249626,,,
0.23,0,0.134836779,0.272255726,,,,0.23,0,0.000353528,0.002473569,,,
0.24,0.00427256,0.146488435,0.288704309,,,,0.24,0,0.00040676,0.00271579,,,
0.25,0.011939005,0.158789812,0.305640618,,,,0.25,0,0.000466526,0.002977783,,,
0.26,0.020458268,0.171759128,0.323059988,,,,0.26,0,0.000533473,0.003261117,,,
0.27,0.029871173,0.185413209,0.340955246,,,,0.27,0,0.000608294,0.003567425,,,
0.28,0.040217621,0.199767102,0.359316584,,,,0.28,0,0.00069173,0.003898402,,,
0.29,0.0515358,0.214833635,0.37813147,,,,0.29,0,0.000784567,0.004255798,,,
0.3,0.063861214,0.230622912,0.397384611,,,,0.3,0,0.000887643,0.004641411,,,
0.31,0.077225533,0.247141752,0.417057972,,,,0.31,0,0.001001838,0.005057079,,,
0.32,0.091655228,0.264393051,0.437130873,,,,0.32,0,0.001128081,0.005504669,,,
0.33,0.107170015,0.28237508,0.457580145,,,,0.33,0,0.001267341,0.005986073,,,
0.34,0.1237811,0.301080722,0.478380344,,,,0.34,0,0.001420628,0.006503189,,,
0.35,0.141489284,0.320496642,0.499503999,,,,0.35,0,0.001588985,0.007057913,,,
0.36,0.160282984,0.340602414,0.520921845,,,,0.36,0,0.001773483,0.007652124,,,
0.37,0.180136274,0.361369628,0.542602982,,,,0.37,0,0.001975209,0.008287671,,,
0.38,0.201007097,0.382760985,0.564514874,,,,0.38,0,0.002195261,0.00896635,,,
0.39,0.222835813,0.404729457,0.5866231,,,,0.39,0,0.00243473,0.009689888,,,
0.4,0.245544297,0.427217521,0.608890745,,,,0.4,0,0.002694691,0.010459914,,,
0.41,0.26903579,0.450156579,0.631277368,,,,0.41,0,0.002976176,0.011277933,,,
0.42,0.293195701,0.473466607,0.653737512,,,,0.42,0,0.003280166,0.012145284,,,
0.43,0.317893501,0.497056138,0.676218774,,,,0.43,0,0.003607563,0.013063105,,,
0.44,0.342985811,0.520822686,0.698659561,,,,0.44,0,0.00395917,0.014032276,,,
0.45,0.368320666,0.544653688,0.720986711,,,,0.45,0,0.004335675,0.015053375,,,
0.46,0.393742913,0.568428064,0.743113216,,,,0.46,0,0.004737629,0.016126622,,,
0.47,0.419100498,0.592018463,0.764936429,,,,0.47,0,0.005165435,0.01725184,,,
0.48,0.444251192,0.615294225,0.786337258,,,,0.48,0,0.005619342,0.01842843,,,
0.49,0.469068873,0.638125033,0.807181193,,,,0.49,0,0.006099445,0.019655362,,,
0.5,0.493448099,0.660385142,0.827322184,,,,0.5,0,0.006605695,0.020931203,,,
0.51,0.517305636,0.681957936,0.846610236,,,,0.51,0,0.007137919,0.022254169,,,
0.52,0.54057825,0.702740423,0.864902596,,,,0.52,0,0.007695847,0.023622202,,,
0.53,0.563217461,0.722647131,0.8820768,,,,0.53,0,0.008279146,0.025033067,,,
