D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
1.37,0,0.000185985,0.000475937,,,
1.38,0,0.000206472,0.000522325,,,
1.39,0,0.000228934,0.000572627,,,
1.4,0,0.000253533,0.000627116,,,
1.41,0,0.000280441,0.000686079,,,
1.42,0,0.000309841,0.000749819,,,
1.43,0,0.000341926,0.000818652,,,
1.44,0,0.000376904,0.000892912,,,
1.45,0,0.000414992,0.000972948,,,
1.46,0,0.000456422,0.001059124,,,
1.47,0,0.000501439,0.001151823,,,
1.48,0,0.000550302,0.001251442,,,
1.49,0,0.000603283,0.001358397,,,
1.5,0,0.000660671,0.001473122,,,
1.51,0,0.000722768,0.001596067,,,
1.52,0,0.000789893,0.001727701,,,
1.53,0,0.000862381,0.001868511,,,
1.54,0,0.000940583,0.002019003,,,
1.55,0,0.001024868,0.002179701,,,
1.56,0,0.001115622,0.002351146,,,
1.57,0,0.001213249,0.002533899,,,
1.58,0,0.00131817,0.002728542,,,
1.59,0,0.001430827,0.002935671,,,
1.6,0,0.001551678,0.003155903,,,
1.61,0,0.001681203,0.003389876,,,
1.62,1.55784E-06,0.0018199,0.003638242,,,
1.63,3.48976E-05,0.001968286,0.003901674,,,
1.64,7.29353E-05,0.002126899,0.004180863,,,
1.65,0.000116079,0.002296298,0.004476518,,,
1.66,0.000164758,0.002477061,0.004789365,,,
1.67,0.000219427,0.002669787,0.005120147,,,
1.68,0.000280564,0.002875095,0.005469626,,,
1.69,0.000348672,0.003093626,0.005838579,,,
1.7,0.000424278,0.003326038,0.006227798,,,
1.71,0.000507936,0.003573015,0.006638095,,,
1.72,0.000600223,0.003835258,0.007070293,,,
1.73,0.000701744,0.004113487,0.007525231,,,
1.74,0.00081313,0.004408446,0.008003763,,,
1.75,0.000935038,0.004720897,0.008506756,,,
1.76,0.001068152,0.005051621,0.00903509,,,
1.77,0.001213183,0.005401419,0.009589655,,,
1.78,0.001370867,0.005771112,0.010171356,,,
1.79,0.001541968,0.006161537,0.010781106,,,
1.8,0.001727277,0.006573553,0.011419829,,,
1.81,0.001927608,0.007008032,0.012088457,,,
1.82,0.002143804,0.007465867,0.01278793,,,
1.83,0.002376734,0.007947965,0.013519196,,,
1.84,0.002627288,0.008455249,0.01428321,,,
1.85,0.002896386,0.008988658,0.015080931,,,
1.86,0.003184968,0.009549145,0.015913322,,,
1.87,0.003493998,0.010137674,0.01678135,,,
1.88,0.003824465,0.010755225,0.017685985,,,
1.89,0.004177376,0.011402787,0.018628197,,,
1.9,0.004553762,0.01208136,0.019608958,,,
1.91,0.004954672,0.012791954,0.020629237,,,
1.92,0.005381174,0.013535589,0.021690004,,,
1.93,0.005834354,0.014313288,0.022792223,,,
1.94,0.006315315,0.015126085,0.023936856,,,
1.95,0.006825173,0.015975016,0.025124859,,,
1.96,0.00736506,0.016861121,0.026357182,,,
1.97,0.007936118,0.017785444,0.027634769,,,
1.98,0.008539501,0.018749028,0.028958555,,,
1.99,0.009176373,0.019752918,0.030329463,,,
2,0.009847904,0.020798157,0.031748409,,,
2.01,0.010555269,0.021885783,0.033216297,,,
2.02,0.01129965,0.023016833,0.034734016,,,
2.03,0.012082228,0.024192336,0.036302444,,,
2.04,0.012904186,0.025413314,0.037922443,,,
2.05,0.013766705,0.026680782,0.039594859,,,
2.06,0.014670964,0.027995743,0.041320522,,,
2.07,0.015618134,0.029359189,0.043100244,,,
2.08,0.01660938,0.0307721,0.044934819,,,
2.09,0.017645858,0.03223544,0.046825021,,,
2.1,0.018728713,0.033750157,0.048771602,,,
2.11,0.019859073,0.035317184,0.050775295,,,
2.12,0.021038056,0.036937433,0.05283681,,,
2.13,0.022266757,0.038611795,0.054956833,,,
2.14,0.023546255,0.04034114,0.057136026,,,
