D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.16,0.655988289,0.676053853,0.696119416,,,,0.16,0.262418976,0.278046872,0.293674768,,,,0.16,0.018813906,0.020950279,0.023086652,,,,0.16,0.0005977,0.00070843,0.000819159,,,,0.16,4.22772E-05,5.49063E-05,6.75354E-05,,,,0.16,8.95864E-07,1.49409E-06,2.09232E-06,,,
0.17,0.668883793,0.688251126,0.707618459,,,,0.17,0.276336751,0.292074842,0.307812932,,,,0.17,0.021175034,0.023500495,0.025825956,,,,0.17,0.000720044,0.000849651,0.000979259,,,,0.17,5.28376E-05,6.81893E-05,8.35411E-05,,,,0.17,1.17445E-06,1.93509E-06,2.69572E-06,,,
0.18,0.680992497,0.699690955,0.718389414,,,,0.18,0.289910716,0.305725603,0.32154049,,,,0.18,0.023649746,0.026165041,0.028680336,,,,0.18,0.000857374,0.001007509,0.001157644,,,,0.18,6.51289E-05,8.35585E-05,0.000101988,,,,0.18,1.5142E-06,2.46695E-06,3.4197E-06,,,
0.19,0.692388116,0.710446298,0.728504479,,,,0.19,0.303150125,0.319012421,0.334874717,,,,0.19,0.026233611,0.028939003,0.031644394,,,,0.19,0.001010357,0.001182673,0.001354988,,,,0.19,7.92975E-05,0.000101178,0.000123058,,,,0.19,1.92346E-06,3.10104E-06,4.27862E-06,,,
0.2,0.703134615,0.720580225,0.738025834,,,,0.2,0.316064289,0.331948112,0.347831934,,,,0.2,0.028922305,0.031817625,0.034712945,,,,0.2,0.001179629,0.001375774,0.001571919,,,,0.2,9.54902E-05,0.00012121,0.000146929,,,,0.2,2.4111E-06,3.84928E-06,5.28746E-06,,,
0.21,0.713287879,0.730147651,0.747007423,,,,0.21,0.328662483,0.344545022,0.360427562,,,,0.21,0.031711614,0.034796312,0.03788101,,,,0.21,0.001365787,0.001587404,0.001809021,,,,0.21,0.000113854,0.000143817,0.000173781,,,,0.21,2.98641E-06,4.72408E-06,6.46175E-06,,,
0.22,0.72289704,0.739196698,0.755496355,,,,0.22,0.340953867,0.35681502,0.372676172,,,,0.22,0.034597441,0.037870626,0.041143811,,,,0.22,0.001569397,0.001818118,0.002066839,,,,0.22,0.000134535,0.000169161,0.000203787,,,,0.22,3.65917E-06,5.73835E-06,7.81752E-06,,,
0.23,0.732005537,0.747769776,0.763534014,,,,0.23,0.352947447,0.368769494,0.384591542,,,,0.23,0.037575802,0.04103628,0.044496759,,,,0.23,0.001790993,0.002068434,0.002345875,,,,0.23,0.00015768,0.000197401,0.000237121,,,,0.23,4.43956E-06,6.90544E-06,9.37131E-06,,,
0.24,0.740651973,0.755904464,0.771156955,,,,0.24,0.364652029,0.380419368,0.396186706,,,,0.24,0.040642833,0.044289141,0.047935449,,,,0.24,0.002031078,0.002338837,0.002646597,,,,0.24,0.000183434,0.000228694,0.000273953,,,,0.24,5.33819E-06,8.23914E-06,1.11401E-05,,,
0.25,0.748870809,0.763634217,0.778397624,,,,0.25,0.376076204,0.391775105,0.407474005,,,,0.25,0.043794785,0.047625219,0.051455654,,,,0.25,0.002290121,0.002629777,0.002969433,,,,0.25,0.00021194,0.000263195,0.00031445,,,,0.25,6.36605E-06,9.75364E-06,1.31412E-05,,,
