D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,1.17039E-07,3.89456E-06,0.976415159,0.115248759,0.048458907,0.000001,0,1.14832E-13,3.58647E-12,1.219382818,0.459310815,0.179868024
0.01,0,0.000559844,0.009277115,,,,0.01,0,3.39816E-05,0.000838772,,,
0.02,0,0.000906801,0.01372923,,,,0.02,0,7.27907E-05,0.0017978,,,
0.03,0,0.001188791,0.017104483,,,,0.03,0,0.000108804,0.002674883,,,
0.04,0,0.001435774,0.019900489,,,,0.04,0,0.000142177,0.003471484,,,
0.05,0,0.001661484,0.022323791,,,,0.05,0,0.000173382,0.004199363,,,
0.06,0,0.001873684,0.024485096,,,,0.06,0,0.000202834,0.004869421,,,
0.07,0,0.002077221,0.026452449,,,,0.07,0,0.000230866,0.005490582,,,
0.08,0,0.002275282,0.028271544,,,,0.08,0,0.000257749,0.00607003,,,
0.09,0,0.002470019,0.02997505,,,,0.09,0,0.000283711,0.006613572,,,
0.1,0,0.002662909,0.0315874,,,,0.1,0,0.000308945,0.007125958,,,
0.11,0,0.002854977,0.033127469,,,,0.11,0,0.000333621,0.007611125,,,
0.12,0,0.003046946,0.03461016,,,,0.12,0,0.000357887,0.008072377,,,
0.13,0,0.003239332,0.03604741,,,,0.13,0,0.000381877,0.008512524,,,
0.14,0,0.003432521,0.037448853,,,,0.14,0,0.000405711,0.008933987,,,
0.15,0,0.003626818,0.038822296,,,,0.15,0,0.000429497,0.009338877,,,
0.16,0,0.003822487,0.040174074,,,,0.16,0,0.000453333,0.009729057,,,
0.17,0,0.004019778,0.041509318,,,,0.17,0,0.00047731,0.010106191,,,
0.18,0,0.004218947,0.042832184,,,,0.18,0,0.000501513,0.010471779,,,
0.19,0,0.004420276,0.04414604,,,,0.19,0,0.000526022,0.010827186,,,
0.2,0,0.004624082,0.045453619,,,,0.2,0,0.000550914,0.011173667,,,
0.21,0,0.004830726,0.046757157,,,,0.21,0,0.000576264,0.011512381,,,
0.22,0,0.005040624,0.048058507,,,,0.22,0,0.00060215,0.011844409,,,
0.23,0,0.005254244,0.049359241,,,,0.23,0,0.00062865,0.012170762,,,
0.24,0,0.005472119,0.050660737,,,,0.24,0,0.000655846,0.012492393,,,
0.25,0,0.005694837,0.05196425,,,,0.25,0,0.000683828,0.0128102,,,
0.26,0,0.00592305,0.05327098,,,,0.26,0,0.000712691,0.013125041,,,
0.27,0,0.006157473,0.054582127,,,,0.27,0,0.000742537,0.013437731,,,
0.28,0,0.006398876,0.055898936,,,,0.28,0,0.000773483,0.013749053,,,
0.29,0,0.00664809,0.057222748,,,,0.29,0,0.000805653,0.014059766,,,
0.3,0,0.006906002,0.058555027,,,,0.3,0,0.000839187,0.014370604,,,
0.31,0,0.007173554,0.059897397,,,,0.31,0,0.000874239,0.014682287,,,
0.32,0,0.007451738,0.06125167,,,,0.32,0,0.00091098,0.014995529,,,
0.33,0,0.007741603,0.062619865,,,,0.33,0,0.000949597,0.015311037,,,
0.34,0,0.008044247,0.064004229,,,,0.34,0,0.000990299,0.015629528,,,
0.35,0,0.008360822,0.065407249,,,,0.35,0,0.001033313,0.015951727,,,
0.36,0,0.008692538,0.066831667,,,,0.36,0,0.00107889,0.016278381,,,
