D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.16,0.614780111,0.651666412,0.688552712,,,,0.16,0.247734647,0.272827058,0.297919469,,,,0.16,0.012811995,0.01567239,0.018532785,,,,0.16,0.000192932,0.00028096,0.000368988,,,,0.16,3.82478E-06,7.18539E-06,1.0546E-05,,,,0.16,2.56153E-08,1.18673E-07,2.11731E-07,,,
0.17,0.6301457,0.665747616,0.701349532,,,,0.17,0.261935223,0.287209525,0.312483828,,,,0.17,0.014579627,0.017718754,0.020857881,,,,0.17,0.000238974,0.00034435,0.000449727,,,,0.17,5.04631E-06,9.3088E-06,1.35713E-05,,,,0.17,3.75551E-08,1.61827E-07,2.86099E-07,,,
0.18,0.644622836,0.678982472,0.713342108,,,,0.18,0.275820164,0.301221492,0.326622819,,,,0.18,0.016451739,0.019873444,0.02329515,,,,0.18,0.000292065,0.00041675,0.000541435,,,,0.18,6.54404E-06,1.18706E-05,1.71972E-05,,,,0.18,5.35383E-08,2.16587E-07,3.79635E-07,,,
0.19,0.658286125,0.691446869,0.724607613,,,,0.19,0.289392519,0.314872864,0.340353208,,,,0.19,0.018425605,0.022132935,0.025840265,,,,0.19,0.000352727,0.000498738,0.00064475,,,,0.19,8.35712E-06,1.49259E-05,2.14947E-05,,,,0.19,7.45062E-08,2.85089E-07,4.95672E-07,,,
0.2,0.671201273,0.703207073,0.735212873,,,,0.2,0.302656335,0.328173672,0.35369101,,,,0.2,0.020498463,0.02449373,0.028488998,,,,0.2,0.000421472,0.000590881,0.000760291,,,,0.2,1.05272E-05,1.85324E-05,2.65376E-05,,,,0.2,1.01532E-07,3.69697E-07,6.37862E-07,,,
0.21,0.683426498,0.714321328,0.745216159,,,,0.21,0.315616408,0.341133957,0.366651506,,,,0.21,0.022667526,0.026952377,0.031237228,,,,0.21,0.000498808,0.000693732,0.000888656,,,,0.21,1.30981E-05,2.27502E-05,3.24024E-05,,,,0.21,1.3583E-07,4.73006E-07,8.10181E-07,,,
0.22,0.695013664,0.724841128,0.754668593,,,,0.22,0.328278101,0.353763679,0.379249257,,,,0.22,0.024930004,0.029505472,0.03408094,,,,0.22,0.000585234,0.000807829,0.001030424,,,,0.22,1.61162E-05,2.7642E-05,3.91678E-05,,,,0.22,1.78758E-07,5.97848E-07,1.01694E-06,,,
0.23,0.706009205,0.734812244,0.763615283,,,,0.23,0.340647188,0.366072658,0.391498129,,,,0.23,0.027283113,0.032149673,0.037016234,,,,0.23,0.000681241,0.000933698,0.001186155,,,,0.23,1.96297E-05,3.32725E-05,4.69152E-05,,,,0.23,2.31827E-07,7.473E-07,1.26277E-06,,,
0.24,0.716454875,0.744275554,0.772096232,,,,0.24,0.352729737,0.378070532,0.403411326,,,,0.24,0.029724084,0.034881701,0.040039319,,,,0.24,0.00078731,0.001071848,0.001356387,,,,0.24,2.36892E-05,3.97086E-05,5.57279E-05,,,,0.24,2.96709E-07,9.24684E-07,1.55266E-06,,,
0.25,0.726388377,0.753267728,0.780147078,,,,0.25,0.364532018,0.389766719,0.41500142,,,,0.25,0.032250173,0.037698345,0.043146518,,,,0.25,0.000903914,0.001222776,0.001541637,,,,0.25,2.83473E-05,4.70192E-05,6.56911E-05,,,,0.25,3.75237E-07,1.13357E-06,1.89191E-06,,,
0.26,0.735843878,0.761821794,0.787799711,,,,0.26,0.376060427,0.401170403,0.426280379,,,,0.26,0.034858666,0.040596465,0.046334264,,,,0.26,0.001031514,0.00138696,0.001742406,,,,0.26,3.36582E-05,5.5275E-05,7.68917E-05,,,,0.26,4.69414E-07,1.3778E-06,2.28618E-06,,,
0.27,0.744852448,0.76996761,0.795082772,,,,0.27,0.387321425,0.412290514,0.437259603,,,,0.27,0.037546888,0.043572994,0.0495991,,,,0.27,0.00117056,0.001564865,0.00195917,,,,0.27,3.96784E-05,6.45484E-05,8.94185E-05,,,,0.27,5.81417E-07,1.66144E-06,2.74146E-06,,,
0.28,0.753442431,0.777732256,0.802022082,,,,0.28,0.398321493,0.423135721,0.447949949,,,,0.28,0.040312202,0.04662494,0.052937678,,,,0.28,0.001321494,0.001756941,0.002192387,,,,0.28,4.64657E-05,7.49135E-05,0.000103361,,,,0.28,7.136E-07,1.98883E-06,3.26406E-06,,,
0.29,0.761639756,0.785140376,0.808640996,,,,0.29,0.409067094,0.433714431,0.458361767,,,,0.29,0.043152014,0.049749384,0.056346755,,,,0.29,0.001484742,0.00196362,0.002442497,,,,0.29,5.40799E-05,8.64458E-05,0.000118812,,,,0.29,8.685E-07,2.36458E-06,3.86067E-06,,,
0.3,0.769468211,0.792214457,0.814960703,,,,0.3,0.419564642,0.444034782,0.468504922,,,,0.3,0.046063779,0.052943485,0.059823192,,,,0.3,0.001660723,0.00218532,0.002709917,,,,0.3,6.25823E-05,9.92222E-05,0.000135862,,,,0.3,1.04884E-06,2.79355E-06,4.53826E-06,,,
0.31,0.77694967,0.798975075,0.82100048,,,,0.31,0.429820477,0.45410465,0.478388824,,,,0.31,0.049044998,0.056204475,0.063363953,,,,0.31,0.001849841,0.002422445,0.002995048,,,,0.31,7.20354E-05,0.000113321,0.000154606,,,,0.31,1.25753E-06,3.28086E-06,5.30418E-06,,,
0.32,0.784104298,0.805441107,0.826777915,,,,0.32,0.439840851,0.463931652,0.488022453,,,,0.32,0.052093224,0.059529662,0.066966099,,,,0.32,0.00205249,0.00267538,0.00329827,,,,0.32,8.25035E-05,0.000128821,0.000175138,,,,0.32,1.49767E-06,3.83188E-06,6.16609E-06,,,
0.33,0.790950722,0.811629908,0.832309095,,,,0.33,0.449631908,0.473523145,0.497414381,,,,0.33,0.055206061,0.062916425,0.070626788,,,,0.33,0.002269051,0.002944498,0.003619945,,,,0.33,9.4052E-05,0.000145802,0.000197552,,,,0.33,1.77257E-06,4.45226E-06,7.13196E-06,,,
0.34,0.797506184,0.817557474,0.837608764,,,,0.34,0.459199677,0.482886238,0.506572798,,,,0.34,0.058381163,0.066362218,0.074343274,,,,0.34,0.002499893,0.003230155,0.003960416,,,,0.34,0.000106747,0.000164346,0.000221945,,,,0.34,2.0857E-06,5.14791E-06,8.21011E-06,,,
0.35,0.803786678,0.823238574,0.842690469,,,,0.35,0.468550062,0.492027796,0.51550553,,,,0.35,0.061616237,0.069864568,0.078112898,,,,0.35,0.002745374,0.003532692,0.00432001,,,,0.35,0.000120658,0.000184536,0.000248414,,,,0.35,2.44078E-06,5.92497E-06,9.40917E-06,,,
0.36,0.809807062,0.828686873,0.847566684,,,,0.36,0.477688836,0.500954448,0.524220059,,,,0.36,0.064909044,0.073421068,0.081933093,,,,0.36,0.003005837,0.003852437,0.004699036,,,,0.36,0.000135852,0.000206453,0.000277053,,,,0.36,2.84167E-06,6.78987E-06,1.07381E-05,,,
0.37,0.815581166,0.833915039,0.852248911,,,,0.37,0.486621636,0.509672591,0.532723545,,,,0.37,0.068257393,0.077029384,0.085801375,,,,0.37,0.003281618,0.004189701,0.005097783,,,,0.37,0.000152399,0.00023018,0.000307961,,,,0.37,3.29248E-06,7.74928E-06,1.22061E-05,,,
0.38,0.821121882,0.838934832,0.856747783,,,,0.38,0.495353963,0.5181884,0.541022838,,,,0.38,0.07165915,0.080687247,0.089715345,,,,0.38,0.003573036,0.004544782,0.005516527,,,,0.38,0.000170371,0.000255803,0.000341235,,,,0.38,3.79751E-06,8.81012E-06,1.38227E-05,,,
