Reference,DOI,Type of structure,Format,Intensity Measure,Shape,Damage state,mean,stddev
De Risi et al. 2017a,https://doi.org/10.1007/s00477-016-1230-x ,W,continuous,d_tsi,logncdf,DS2_Minor,0.04,1.49
De Risi et al. 2017a,https://doi.org/10.1007/s00477-016-1230-x ,W,continuous,d_tsi,logncdf,DS3_Moderate,0.29,1.00
De Risi et al. 2017a,https://doi.org/10.1007/s00477-016-1230-x ,W,continuous,d_tsi,logncdf,DS4_Major,0.82,0.81
De Risi et al. 2017a,https://doi.org/10.1007/s00477-016-1230-x ,W,continuous,d_tsi,logncdf,DS5_Complete,1.68,0.66
De Risi et al. 2017a,https://doi.org/10.1007/s00477-016-1230-x ,W,continuous,d_tsi,logncdf,DS6_Collapse_DS7_Wash_Away,1.90,0.73
