D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,0,0,0.519716144,0.318494957,0.037008073,0.000001,0,0,0,2.427447986,0.741159039,0.033441168
0.01,0,0,0,,,,0.01,0,0,0,,,
0.02,0,8.07963E-18,1.35879E-16,,,,0.02,0,0,0,,,
0.03,0,1.71949E-14,2.40057E-13,,,,0.03,0,0,0,,,
0.04,0,2.3018E-12,2.75037E-11,,,,0.04,0,5.81269E-20,2.59781E-18,,,
0.05,0,7.79382E-11,7.92243E-10,,,,0.05,0,2.45295E-17,3.39807E-16,,,
0.06,0,1.17247E-09,1.0102E-08,,,,0.06,0,1.18875E-15,1.39742E-14,,,
0.07,0,1.03847E-08,7.59344E-08,,,,0.07,0,2.61601E-14,2.68242E-13,,,
0.08,0,6.34609E-08,3.96145E-07,,,,0.08,0,3.39145E-13,3.02874E-12,,,
0.09,0,2.94888E-07,1.58626E-06,,,,0.09,0,2.98757E-12,2.3229E-11,,,
0.1,0,1.11037E-06,5.20609E-06,,,,0.1,0,1.96022E-11,1.33034E-10,,,
0.11,0,3.53957E-06,1.46434E-05,,,,0.11,0,1.02003E-10,6.07295E-10,,,
0.12,0,9.85721E-06,3.64224E-05,,,,0.12,0,4.40203E-10,2.31495E-09,,,
0.13,0,2.45474E-05,8.19449E-05,,,,0.13,0,1.62814E-09,7.62398E-09,,,
0.14,0,5.56457E-05,0.000169585,,,,0.14,0,5.29088E-09,2.22533E-08,,,
0.15,0,0.000116432,0.000326964,,,,0.15,0,1.54006E-08,5.86975E-08,,,
0.16,0,0.000227369,0.000593158,,,,0.16,0,4.07715E-08,1.42038E-07,,,
0.17,0,0.00041812,0.001020532,,,,0.17,0,9.9389E-08,3.19085E-07,,,
0.18,0,0.000729421,0.001675912,,,,0.18,0,2.25355E-07,6.71807E-07,,,
0.19,0,0.001214566,0.002640851,,,,0.19,0,4.7928E-07,1.33589E-06,,,
0.2,0,0.001940282,0.00401083,,,,0.2,0,9.62857E-07,2.52489E-06,,,
0.21,8.0253E-05,0.002986808,0.005893362,,,,0.21,0,1.83817E-06,4.56009E-06,,,
0.22,0.000489087,0.004447079,0.008405071,,,,0.22,0,3.35183E-06,7.9053E-06,,,
0.23,0.001182035,0.006424982,0.011667929,,,,0.23,0,5.86375E-06,1.32056E-05,,,
0.24,0.002260586,0.009032755,0.015804924,,,,0.24,0,9.8795E-06,2.13279E-05,,,
0.25,0.003839891,0.012387667,0.020935443,,,,0.25,0,1.6085E-05,3.34015E-05,,,
0.26,0.006045653,0.016608182,0.027170711,,,,0.26,0,2.53818E-05,5.08551E-05,,,
0.27,0.009010134,0.021809842,0.034609551,,,,0.27,2.39135E-06,3.89202E-05,7.5449E-05,,,
0.28,0.012867523,0.028101126,0.043334729,,,,0.28,6.95908E-06,5.81291E-05,0.000109299,,,
0.29,0.017748969,0.035579508,0.053410047,,,,0.29,1.45873E-05,8.47388E-05,0.00015489,,,
0.3,0.023777597,0.044327952,0.064878306,,,,0.3,2.65131E-05,0.000120796,0.000215079,,,
0.31,0.031063791,0.054411978,0.077760166,,,,0.31,4.42554E-05,0.00016867,0.000293084,,,
0.32,0.039701012,0.065877451,0.092053889,,,,0.32,6.96262E-05,0.000231044,0.000392461,,,
0.33,0.049762363,0.078749126,0.107735888,,,,0.33,0.000104732,0.000310902,0.000517072,,,
0.34,0.06129801,0.093029996,0.124761981,,,,0.34,0.000151966,0.0004115,0.000671034,,,
