D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
1.29,0.045772711,0.070261024,0.094749336,,,
1.3,0.047649504,0.072576736,0.097503968,,,
1.31,0.049583189,0.074948919,0.100314649,,,
1.32,0.051574809,0.077378356,0.103181903,,,
1.33,0.053625404,0.079865824,0.106106245,,,
1.34,0.05573601,0.082412094,0.109088178,,,
1.35,0.057907656,0.085017927,0.112128197,,,
1.36,0.060141365,0.087684075,0.115226785,,,
1.37,0.062438153,0.090411283,0.118384414,,,
1.38,0.064799025,0.093200284,0.121601543,,,
1.39,0.067224978,0.096051799,0.124878621,,,
1.4,0.069716994,0.098966539,0.128216084,,,
1.41,0.072276047,0.101945201,0.131614355,,,
1.42,0.074903092,0.104988468,0.135073844,,,
1.43,0.07759907,0.108097009,0.138594948,,,
1.44,0.080364904,0.111271477,0.14217805,,,
1.45,0.0832015,0.114512509,0.145823519,,,
1.46,0.086109741,0.117820725,0.149531709,,,
1.47,0.089090489,0.121196724,0.15330296,,,
1.48,0.092144583,0.124641089,0.157137596,,,
1.49,0.095272835,0.128154381,0.161035926,,,
1.5,0.098476031,0.131737138,0.164998245,,,
1.51,0.101754928,0.135389879,0.169024831,,,
1.52,0.10511025,0.139113097,0.173115944,,,
1.53,0.10854269,0.14290726,0.17727183,,,
1.54,0.112052908,0.146772812,0.181492717,,,
1.55,0.115641524,0.15071017,0.185778817,,,
1.56,0.11930912,0.154719723,0.190130325,,,
1.57,0.123056241,0.158801829,0.194547418,,,
1.58,0.126883384,0.16295682,0.199030256,,,
1.59,0.130791005,0.167184993,0.20357898,,,
1.6,0.134779511,0.171486614,0.208193716,,,
1.61,0.138849262,0.175861916,0.21287457,,,
1.62,0.143000566,0.180311098,0.21762163,,,
1.63,0.147233678,0.184834322,0.222434965,,,
1.64,0.151548795,0.189431712,0.227314629,,,
1.65,0.155946062,0.194103357,0.232260652,,,
1.66,0.160425559,0.198849305,0.237273051,,,
1.67,0.164987308,0.203669564,0.24235182,,,
1.68,0.169631264,0.2085641,0.247496936,,,
1.69,0.174357319,0.213532838,0.252708356,,,
1.7,0.179165297,0.218575657,0.257986018,,,
1.71,0.184054949,0.223692394,0.26332984,,,
1.72,0.189025958,0.228882839,0.26873972,,,
1.73,0.194077931,0.234146734,0.274215538,,,
1.74,0.199210401,0.239483775,0.27975715,,,
1.75,0.204422824,0.244893609,0.285364393,,,
1.76,0.209714577,0.25037583,0.291037084,,,
1.77,0.215084957,0.255929986,0.296775015,,,
1.78,0.220533182,0.26155557,0.302577957,,,
1.79,0.226058386,0.267252022,0.308445659,,,
1.8,0.231659619,0.273018731,0.314377844,,,
1.81,0.23733585,0.278855031,0.320374211,,,
1.82,0.243085962,0.284760198,0.326434433,,,
1.83,0.248908755,0.290733455,0.332558155,,,
1.84,0.254802944,0.296773969,0.338744994,,,
1.85,0.260767158,0.302880848,0.344994537,,,
1.86,0.266799946,0.309053142,0.351306337,,,
1.87,0.272899772,0.315289844,0.357679917,,,
1.88,0.279065019,0.321589889,0.364114759,,,
1.89,0.28529399,0.327952151,0.370610312,,,
1.9,0.29158491,0.334375445,0.37716598,,,
1.91,0.29793593,0.340858528,0.383781126,,,
1.92,0.304345124,0.347400094,0.390455065,,,
1.93,0.310810499,0.353998781,0.397187063,,,
1.94,0.317329995,0.360653164,0.403976332,,,
1.95,0.323901487,0.367361758,0.41082203,,,
1.96,0.330522791,0.374123021,0.417723251,,,
1.97,0.337191669,0.380935349,0.424679028,,,
1.98,0.343905833,0.387797079,0.431688324,,,
1.99,0.35066295,0.39470649,0.43875003,,,
2,0.357460643,0.401661802,0.445862961,,,
2.01,0.364296507,0.408661179,0.453025852,,,
2.02,0.371168101,0.415702727,0.460237352,,,
2.03,0.378072964,0.422784494,0.467496023,,,
2.04,0.385008617,0.429904475,0.474800333,,,
2.05,0.391972569,0.437060612,0.482148655,,,
2.06,0.39896232,0.444250791,0.489539262,,,
2.07,0.405975372,0.451472849,0.496970326,,,
2.08,0.413009231,0.458724571,0.50443991,,,
2.09,0.420061412,0.466003693,0.511945974,,,
2.1,0.427129444,0.473307905,0.519486367,,,
2.11,0.434210878,0.480634852,0.527058826,,,
2.12,0.441303287,0.487982133,0.534660978,,,
2.13,0.448404272,0.495347306,0.542290341,,,
2.14,0.455511466,0.502727892,0.549944318,,,
2.15,0.462622534,0.51012137,0.557620207,,,
2.16,0.469735181,0.517525188,0.565315195,,,
2.17,0.476847151,0.524936759,0.573026367,,,
2.18,0.483956227,0.532353465,0.580750704,,,
2.19,0.491060236,0.539772663,0.588485089,,,
2.2,0.498157049,0.547191682,0.596226315,,,
2.21,0.505244579,0.554607831,0.603971082,,,
2.22,0.512320787,0.562018399,0.611716011,,,
2.23,0.519383673,0.569420659,0.619457645,,,
2.24,0.526431284,0.57681187,0.627192455,,,
2.25,0.53346171,0.584189282,0.634916853,,,
2.26,0.540473083,0.591550138,0.642627192,,,
2.27,0.547463574,0.598891677,0.65031978,,,
2.28,0.554431396,0.606211139,0.657990883,,,
2.29,0.561374799,0.613505767,0.665636735,,,
2.3,0.568292072,0.620772811,0.67325355,,,
2.31,0.575181538,0.628009531,0.680837524,,,
2.32,0.582041555,0.635213202,0.688384848,,,
2.33,0.588870513,0.642381115,0.695891717,,,
2.34,0.595666834,0.649510585,0.703354336,,,
2.35,0.60242897,0.656598949,0.710768928,,,
2.36,0.609155401,0.663643575,0.718131749,,,
2.37,0.615844636,0.670641863,0.725439089,,,
2.38,0.62249521,0.677591247,0.732687283,,,
2.39,0.629105683,0.684489202,0.739872721,,,
