D1,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
1.33,0.004799222,0.012674681,0.020550139,,,
1.34,0.005228523,0.013406314,0.021584105,,,
1.35,0.005684056,0.014169664,0.022655272,,,
1.36,0.006166789,0.014965539,0.023764289,,,
1.37,0.006677697,0.015794743,0.024911789,,,
1.38,0.007217755,0.016658073,0.026098392,,,
1.39,0.007787942,0.017556321,0.0273247,,,
1.4,0.00838924,0.018490271,0.028591302,,,
1.41,0.009022626,0.019460698,0.029898769,,,
1.42,0.009689078,0.020468367,0.031247655,,,
1.43,0.010389569,0.021514033,0.032638496,,,
1.44,0.011125067,0.022598439,0.03407181,,,
1.45,0.011896534,0.023722316,0.035548097,,,
1.46,0.012704921,0.024886379,0.037067837,,,
1.47,0.013551172,0.026091331,0.03863149,,,
1.48,0.014436217,0.027337857,0.040239497,,,
1.49,0.015360976,0.028626628,0.041892279,,,
1.5,0.016326351,0.029958293,0.043590236,,,
1.51,0.017333229,0.031333488,0.045333746,,,
1.52,0.018382481,0.032752825,0.047123168,,,
1.53,0.019474957,0.034216898,0.048958838,,,
1.54,0.020611487,0.035726279,0.050841072,,,
1.55,0.021792877,0.037281521,0.052770164,,,
1.56,0.023019913,0.03888315,0.054746387,,,
1.57,0.024293354,0.040531672,0.05676999,,,
1.58,0.025613932,0.042227567,0.058841203,,,
1.59,0.026982352,0.043971293,0.060960234,,,
1.6,0.028399291,0.045763279,0.063127267,,,
1.61,0.029865395,0.047603932,0.065342469,,,
1.62,0.031381278,0.049493629,0.067605981,,,
1.63,0.032947523,0.051432724,0.069917925,,,
1.64,0.034564678,0.05342154,0.072278401,,,
1.65,0.036233259,0.055460374,0.07468749,,,
1.66,0.037953742,0.057549496,0.07714525,,,
1.67,0.03972657,0.059689145,0.07965172,,,
1.68,0.041552149,0.061879533,0.082206917,,,
1.69,0.043430844,0.064120842,0.084810839,,,
1.7,0.045362984,0.066413225,0.087463465,,,
1.71,0.047348857,0.068756805,0.090164754,,,
1.72,0.04938871,0.071151678,0.092914645,,,
1.73,0.051482753,0.073597906,0.095713059,,,
1.74,0.05363115,0.076095525,0.098559899,,,
1.75,0.055834028,0.078644538,0.101455048,,,
1.76,0.05809147,0.081244921,0.104398373,,,
1.77,0.060403517,0.08389662,0.107389723,,,
1.78,0.062770168,0.086599548,0.110428929,,,
1.79,0.065191381,0.089353593,0.113515805,,,
1.8,0.067667071,0.092158611,0.116650151,,,
1.81,0.07019711,0.095014429,0.119831748,,,
1.82,0.07278133,0.097920846,0.123060362,,,
1.83,0.075419518,0.100877631,0.126335743,,,
1.84,0.078111424,0.103884526,0.129657628,,,
1.85,0.080856752,0.106941244,0.133025735,,,
1.86,0.08365517,0.110047471,0.136439771,,,
