D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.16,0.40761017,0.423688884,0.439767598,,,,0.16,0.135048934,0.14405809,0.153067246,,,,0.16,0.001677004,0.001906783,0.002136562,,,,0.16,7.33545E-06,9.27414E-06,1.12128E-05,,,,0.16,7.45018E-07,1.00496E-06,1.2649E-06,,,,0.16,1.92663E-09,3.03102E-09,4.13541E-09,,,
0.17,0.43482446,0.450494093,0.466163725,,,,0.17,0.153661198,0.163140807,0.172620416,,,,0.17,0.00219801,0.002484318,0.002770627,,,,0.17,1.09788E-05,1.37696E-05,1.65604E-05,,,,0.17,1.16742E-06,1.55933E-06,1.95124E-06,,,,0.17,3.31182E-09,5.14143E-09,6.97104E-09,,,
0.18,0.460833875,0.476039432,0.491244989,,,,0.18,0.172712665,0.182587326,0.192461987,,,,0.18,0.002822218,0.003172483,0.003522748,,,,0.18,1.59741E-05,1.98875E-05,2.38009E-05,,,,0.18,1.77328E-06,2.34718E-06,2.92108E-06,,,,0.18,5.48887E-09,8.41747E-09,1.13461E-08,,,
0.19,0.485620064,0.500324764,0.515029465,,,,0.19,0.192055079,0.202252856,0.212450634,,,,0.19,0.003558427,0.003980071,0.004401715,,,,0.19,2.26678E-05,2.80294E-05,3.33909E-05,,,,0.19,2.62032E-06,3.43931E-06,4.25831E-06,,,,0.19,8.80723E-09,1.33542E-08,1.79011E-08,,,
0.2,0.509185212,0.523367321,0.537549429,,,,0.2,0.21155522,0.222008921,0.232462621,,,,0.2,0.004414821,0.004915176,0.005415531,,,,0.2,3.14571E-05,3.86523E-05,4.58474E-05,,,,0.2,3.77798E-06,4.92016E-06,6.06233E-06,,,,0.2,1.37295E-08,2.05995E-08,2.74695E-08,,,
0.21,0.531547288,0.545197261,0.558847234,,,,0.21,0.231095371,0.24174333,0.252391289,,,,0.21,0.005398922,0.005985153,0.006571385,,,,0.21,4.27915E-05,5.22699E-05,6.17483E-05,,,,0.21,5.32847E-06,6.88884E-06,8.44922E-06,,,,0.21,2.08556E-08,3.09852E-08,4.11147E-08,,,
0.22,0.552736072,0.565854053,0.578972033,,,,0.22,0.250573103,0.261359587,0.272146071,,,,0.22,0.006517559,0.007196598,0.007875637,,,,0.22,5.7173E-05,6.94527E-05,8.17324E-05,,,,0.22,7.36775E-06,9.46023E-06,1.15527E-05,,,,0.22,3.09496E-08,4.55601E-08,6.01705E-08,,,
0.23,0.572789899,0.585383558,0.597977218,,,,0.23,0.269900601,0.280775916,0.291651231,,,,0.23,0.007776857,0.00855534,0.009333824,,,,0.23,7.51572E-05,9.08279E-05,0.000106499,,,,0.23,1.00064E-05,1.27658E-05,1.55251E-05,,,,0.23,4.49686E-08,6.56264E-08,8.62843E-08,,,
0.24,0.591753012,0.603835726,0.615918441,,,,0.24,0.289003687,0.299924072,0.310844456,,,,0.24,0.009182236,0.010066456,0.010950675,,,,0.24,9.73529E-05,0.000117079,0.000136805,,,,0.24,1.33706E-05,1.69543E-05,2.05379E-05,,,,0.24,6.40947E-08,9.27785E-08,1.21462E-07,,,
0.25,0.609673462,0.621262789,0.632852116,,,,0.25,0.307820669,0.318748037,0.329675404,,,,0.25,0.010738422,0.011734281,0.012730141,,,,0.25,0.000124421,0.000148944,0.000173467,,,,0.25,1.76027E-05,2.21926E-05,2.67825E-05,,,,0.25,8.97684E-08,1.28943E-07,1.68118E-07,,,
