Site,Datapoint,Building class,Debris,Sheltered,Water Depth (m),WD uncertainty (m),Damage State(DS)
2,5,5,0,0,2.17,0.4,2
3,8,5,0,0,0.92,0.4,2
5,11,5,0,1,1,0.2,2
10,18,5,0,0,1.55,0.4,2
10,19,5,0,0,2.5,0.2,2
2,11,6,0,0,4.03,0.4,5
6,6,6,0,1,2.65,0.2,2
6,5,6,0,0,3.5,0.2,2
6,4,6,0,0,2.49,0.4,2
6,7,6,0,1,2.4,0.2,3
6,3,6,0,0,2.4,0.4,4
6,1,6,0,0,3.06,0.4,4
6,2,6,0,0,2.38,0.4,4
3,12,7,0,0,1.97,0.4,0
3,15,7,1,1,1.39,0.4,4
3,23,7,1,0,2.04,0.4,4
4,19,7,0,0,2.51,0.4,4
10,8,7,0,1,0.8,0.2,2
9,13,7,0,1,1.97,0.4,2
10,20,7,0,1,2.2,0.2,4
7,3,7,0,0,3.4,0.2,4
9,11,7,0,0,2.81,0.4,4
10,24,7,0,0,2.22,0.4,4
10,3,7,0,0,1,0.2,0
5,12,8,0,0,5,0.2,4
9,15,8,0,0,1.1,0.2,2
8,1,8,0,0,1.54,0.2,3
4,1,9,0,0,2.7,0.2,2
4,15,9,0,0,2.95,0.4,3
5,2,9,0,0,3.9,0.2,4
5,14,9,0,1,4.5,0.2,4
10,16,9,0,0,2.48,0.4,5
8,4,9,0,0,2.33,0.4,5
9,5,9,0,1,1,0.2,1
9,17,9,0,0,1.99,0.4,2
10,1,9,0,0,1.7,0.2,3
8,5,9,0,1,1.905,0.2,4
8,7,9,1,0,2.335,0.2,4
7,9,9,0,1,1.37,0.4,4
9,14,9,0,0,1.99,0.4,4
8,9,9,0,0,2.35,0.4,4
8,2,9,0,1,0.02,0.2,0
