Fatalities,,,,parameters of the mean loss curve,,
Run-up [m],mean-1sigma loss curve,mean loss curve,mean+1sigma loss curve,median,logarithmic standard deviation,epistemic uncertainty
0.000001,0,1.36751E-17,1.27589E-16,23.02812272,0.670647314,0.04683568
0.01,0,9.36379E-09,2.36803E-08,,,
0.02,0,4.61621E-08,1.06149E-07,,,
0.03,0,1.18033E-07,2.56951E-07,,,
0.04,0,2.30341E-07,4.82542E-07,,,
0.05,0,3.87453E-07,7.88052E-07,,,
0.06,8.44024E-09,5.93132E-07,1.17782E-06,,,
0.07,4.57915E-08,8.50728E-07,1.65567E-06,,,
0.08,1.01581E-07,1.16329E-06,2.22499E-06,,,
0.09,1.78308E-07,1.53361E-06,2.88891E-06,,,
0.1,2.7833E-07,1.96431E-06,3.65029E-06,,,
0.11,4.0389E-07,2.45785E-06,4.51181E-06,,,
0.12,5.57126E-07,3.01654E-06,5.47596E-06,,,
0.13,7.40091E-07,3.6426E-06,6.54511E-06,,,
0.14,9.54763E-07,4.33813E-06,7.72149E-06,,,
0.15,1.20305E-06,5.10515E-06,9.00724E-06,,,
0.16,1.4868E-06,5.94559E-06,1.04044E-05,,,
0.17,1.80781E-06,6.86134E-06,1.19149E-05,,,
0.18,2.16782E-06,7.8542E-06,1.35406E-05,,,
0.19,2.56853E-06,8.92592E-06,1.52833E-05,,,
0.2,3.0116E-06,1.00782E-05,1.71448E-05,,,
0.21,3.49865E-06,1.13127E-05,1.91267E-05,,,
0.22,4.03127E-06,1.2631E-05,2.12306E-05,,,
0.23,4.61099E-06,1.40346E-05,2.34583E-05,,,
0.24,5.23935E-06,1.55252E-05,2.5811E-05,,,
0.25,5.91784E-06,1.71042E-05,2.82905E-05,,,
0.26,6.64791E-06,1.8773E-05,3.0898E-05,,,
0.27,7.43102E-06,2.0533E-05,3.36351E-05,,,
0.28,8.26856E-06,2.23858E-05,3.6503E-05,,,
0.29,9.16194E-06,2.43326E-05,3.95033E-05,,,
0.3,1.01125E-05,2.63748E-05,4.2637E-05,,,
0.31,1.11217E-05,2.85137E-05,4.59057E-05,,,
0.32,1.21907E-05,3.07505E-05,4.93104E-05,,,
0.33,1.33209E-05,3.30867E-05,5.28525E-05,,,
0.34,1.45136E-05,3.55234E-05,5.65331E-05,,,
0.35,1.57701E-05,3.80618E-05,6.03534E-05,,,
0.36,1.70917E-05,4.07032E-05,6.43147E-05,,,
0.37,1.84795E-05,4.34487E-05,6.8418E-05,,,
0.38,1.99348E-05,4.62996E-05,7.26644E-05,,,
0.39,2.14588E-05,4.9257E-05,7.70551E-05,,,
0.4,2.30528E-05,5.23219E-05,8.15911E-05,,,
0.41,2.47178E-05,5.54957E-05,8.62736E-05,,,
0.42,2.64552E-05,5.87793E-05,9.11035E-05,,,
