Reference,DOI,Type of structure,Format,Intensity Measure,Shape,Damage state,mean,stddev
De Risi et al. 2017,https://doi.org/10.1007/s00477-016-1230-x ,W,continuous,d_tsi,logncdf,DS2_Minor,0.01,2.50
De Risi et al. 2017,https://doi.org/10.1007/s00477-016-1230-x ,W,continuous,d_tsi,logncdf,DS3_Moderate,0.23,1.92
De Risi et al. 2017,https://doi.org/10.1007/s00477-016-1230-x ,W,continuous,d_tsi,logncdf,DS4_Major,1.02,0.83
De Risi et al. 2017,https://doi.org/10.1007/s00477-016-1230-x ,W,continuous,d_tsi,logncdf,DS5_Complete,1.95,0.51
De Risi et al. 2017,https://doi.org/10.1007/s00477-016-1230-x ,W,continuous,d_tsi,logncdf,DS6_Collapse_DS7_Wash_Away,2.08,0.54
